Date,Portfolio Value
2015-01-02,45247.22267150879
2015-01-05,44801.09489440918
2015-01-06,44555.01480102539
2015-01-07,44916.81999206543
2015-01-08,45457.111587524414
2015-01-09,45283.4521484375
2015-01-12,45091.332931518555
2015-01-13,45011.097717285156
2015-01-14,44833.640365600586
2015-01-15,44687.67837524414
2015-01-16,45147.87071228027
2015-01-20,45329.5890045166
2015-01-21,45474.72206115723
2015-01-22,46033.08853149414
2015-01-23,45894.234924316406
2015-01-26,45887.17430114746
2015-01-27,45447.46841430664
2015-01-28,45065.69999694824
2015-01-29,45222.6953125
2015-01-30,45023.35632324219
2015-02-02,45318.2234954834
2015-02-03,45659.51042175293
2015-02-04,45590.03158569336
2015-02-05,45906.8424987793
2015-02-06,45585.48454284668
2015-02-09,45469.716796875
2015-02-10,45799.757385253906
2015-02-11,45771.31851196289
2015-02-12,46118.938903808594
2015-02-13,46310.37391662598
2015-02-17,46230.61454772949
2015-02-18,46284.12628173828
2015-02-19,46282.40425109863
2015-02-20,46453.510818481445
2015-02-23,46480.56846618652
2015-02-24,46575.49102783203
2015-02-25,46566.72172546387
2015-02-26,46579.90005493164
2015-02-27,46466.68640136719
2015-03-02,46651.21124267578
2015-03-03,46489.225006103516
2015-03-04,46334.10697937012
2015-03-05,46378.547439575195
2015-03-06,45732.74337768555
2015-03-09,45870.47737121582
2015-03-10,45322.500228881836
2015-03-11,45206.364517211914
2015-03-12,45574.483337402344
2015-03-13,45392.21466064453
2015-03-16,45829.36882019043
2015-03-17,45751.073989868164
2015-03-18,46279.16465759277
2015-03-19,46156.95991516113
2015-03-20,46511.887130737305
2015-03-23,46487.7229309082
2015-03-24,46344.065017700195
2015-03-25,45778.496322631836
2015-03-26,45709.7526550293
2015-03-27,45787.28569030762
2015-03-30,46129.49478149414
2015-03-31,45825.2889251709
2015-04-01,45834.99435424805
2015-04-02,45901.41304016113
2015-04-06,46211.98013305664
2015-04-07,46101.50779724121
2015-04-08,46218.64227294922
2015-04-09,46317.114028930664
2015-04-10,46543.75747680664
2015-04-13,46373.13865661621
2015-04-14,46373.47198486328
2015-04-15,46598.36769104004
2015-04-16,46556.87065124512
2015-04-17,46178.05946350098
2015-04-20,46466.787185668945
2015-04-21,46501.99935913086
2015-04-22,46560.89912414551
2015-04-23,46715.8829498291
2015-04-24,46805.29602050781
2015-04-27,46777.83935546875
2015-04-28,46866.35040283203
2015-04-29,46643.88381958008
2015-04-30,46159.743728637695
2015-05-01,46484.514389038086
2015-05-04,46616.52900695801
2015-05-05,46192.14225769043
2015-05-06,46020.85876464844
2015-05-07,46135.29579162598
2015-05-08,46610.459060668945
2015-05-11,46401.944580078125
2015-05-12,46329.45945739746
2015-05-13,46452.49656677246
2015-05-14,46876.72348022461
2015-05-15,46951.720275878906
2015-05-18,47045.89653015137
2015-05-19,46930.35705566406
2015-05-20,46927.343673706055
2015-05-21,47044.808197021484
2015-05-22,46969.838790893555
2015-05-26,46533.22364807129
2015-05-27,46906.03462219238
2015-05-28,46867.59490966797
2015-05-29,46660.75897216797
2015-06-01,46714.993743896484
2015-06-02,46668.7712097168
2015-06-03,46695.580139160156
2015-06-04,46396.83303833008
2015-06-05,46283.2071685791
2015-06-08,46069.53819274902
2015-06-09,46038.65295410156
2015-06-10,46486.950454711914
2015-06-11,46585.446548461914
2015-06-12,46324.18441772461
2015-06-15,46198.23196411133
2015-06-16,46378.9323425293
2015-06-17,46471.8000793457
2015-06-18,46919.626693725586
2015-06-19,46775.10704040527
2015-06-22,46867.05039978027
2015-06-23,46840.37780761719
2015-06-24,46605.17593383789
2015-06-25,46493.0672454834
2015-06-26,46424.11231994629
2015-06-29,45756.86279296875
2015-06-30,45800.56205749512
2015-07-01,46016.72538757324
2015-07-02,45999.056549072266
2015-07-06,45949.83901977539
2015-07-07,46064.43214416504
2015-07-08,45536.11991882324
2015-07-09,45568.971939086914
2015-07-10,45973.84323120117
2015-07-13,46354.30740356445
2015-07-14,46520.71487426758
2015-07-15,46504.30404663086
2015-07-16,46797.42980957031
2015-07-17,46881.87950134277
2015-07-20,46763.48945617676
2015-07-21,46648.85108947754
2015-07-22,46484.04830932617
2015-07-23,46299.614486694336
2015-07-24,46006.428451538086
2015-07-27,45773.793716430664
2015-07-28,46146.819915771484
2015-07-29,46354.82582092285
2015-07-30,46362.50686645508
2015-07-31,46375.41389465332
2015-08-03,46236.127700805664
2015-08-04,46158.930892944336
2015-08-05,46276.60720825195
2015-08-06,45960.87715148926
2015-08-07,45921.79328918457
2015-08-10,46372.47657775879
2015-08-11,46089.04861450195
2015-08-12,46218.07090759277
2015-08-13,46112.469635009766
2015-08-14,46216.047286987305
2015-08-17,46460.43601989746
2015-08-18,46332.354583740234
2015-08-19,46164.616775512695
2015-08-20,45501.722564697266
2015-08-21,44462.69470214844
2015-08-24,43137.01141357422
2015-08-25,42743.80920410156
2015-08-26,43867.12013244629
2015-08-27,44655.88172912598
2015-08-28,44713.2453918457
2015-08-31,44420.86494445801
2015-09-01,43499.427795410156
2015-09-02,44119.44061279297
2015-09-03,44068.73291015625
2015-09-04,43623.06678771973
2015-09-08,44412.36373901367
2015-09-09,43928.787841796875
2015-09-10,44137.2248840332
2015-09-11,44292.68020629883
2015-09-14,44183.67172241211
2015-09-15,44529.77279663086
2015-09-16,44848.891677856445
2015-09-17,44899.15702819824
2015-09-18,44451.58088684082
2015-09-21,44531.128158569336
2015-09-22,44073.792877197266
2015-09-23,44060.214614868164
2015-09-24,44062.534255981445
2015-09-25,43930.82817077637
2015-09-28,43055.79635620117
2015-09-29,43008.287353515625
2015-09-30,43565.77194213867
2015-10-01,43654.179458618164
2015-10-02,44276.066665649414
2015-10-05,44777.62161254883
2015-10-06,44722.896881103516
2015-10-07,44966.70837402344
2015-10-08,45176.380767822266
2015-10-09,45318.14521789551
2015-10-12,45389.11582946777
2015-10-13,45206.161041259766
2015-10-14,45196.99028015137
2015-10-15,45659.11605834961
2015-10-16,45757.05795288086
2015-10-19,45796.87057495117
2015-10-20,45748.67385864258
2015-10-21,45495.53657531738
2015-10-22,46068.388595581055
2015-10-23,46539.198989868164
2015-10-26,46487.18849182129
2015-10-27,46458.527908325195
2015-10-28,46764.7208404541
2015-10-29,46650.79116821289
2015-10-30,46501.49971008301
2015-11-02,46858.35525512695
2015-11-03,46866.62986755371
2015-11-04,46748.01284790039
2015-11-05,46668.71437072754
2015-11-06,46561.75910949707
2015-11-09,46234.55284118652
